Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
9.0,2.449489742783178,11.0,4.0,13.0,14.0,-6.0,-1.2247448713915892
10.5,3.0740852297878796,8.0,4.0,3.0,17.0,-16.0,-2.9277002188455996
11.0,2.1447610589527217,13.0,7.0,15.0,15.0,-4.0,-0.9325048082403138
16.5,3.8535697735995385,16.0,9.0,6.0,20.0,-8.0,-1.037998592215364
8.5,1.8027756377319946,9.0,5.0,10.0,12.0,-9.0,-1.6641005886756874
12.0,3.3763886032268267,7.0,6.0,1.0,12.0,-6.0,-1.4808721943977308
9.5,2.6172504656604803,13.0,4.0,18.0,15.0,-1.0,-0.7641607199008701
11.5,3.0413812651491097,10.0,6.0,6.0,12.0,-4.0,-0.6575959492214292
17.0,2.0,15.0,13.0,1.0,13.0,1.0,1.0
14.0,2.8635642126552705,11.0,9.0,3.0,9.0,3.0,0.6984302957695783
13.5,2.4186773244895647,13.0,9.0,7.0,11.0,6.0,0.8268982305947231
16.5,3.263433774416144,18.0,10.0,12.0,10.0,12.0,2.451405652143582
14.0,2.0,14.0,10.0,8.0,18.0,-11.0,-2.0
18.0,2.792848008753788,20.0,12.0,13.0,12.0,13.0,2.8644594961577314
13.5,3.8535697735995385,17.0,6.0,14.0,21.0,-5.0,-1.037998592215364
19.0,3.4351128074635335,22.0,14.0,13.0,20.0,3.0,0.582222509739582
18.0,2.449489742783178,22.0,14.0,17.0,18.0,10.0,1.6329931618554523
19.5,1.5,22.0,17.0,17.0,17.0,17.0,3.3333333333333335
13.0,2.9664793948382653,13.0,7.0,9.0,12.0,3.0,0.337099931231621
11.0,3.687817782917155,19.0,3.0,19.0,19.0,0.0,0.0
