Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
11.5,2.3769728648009427,14.0,7.0,15.0,16.0,-4.0,-0.8414063238233425
15.0,3.0,19.0,9.0,16.0,19.0,0.0,0.0
15.5,2.9410882339705484,20.0,11.0,17.0,15.0,8.0,1.7000510022951147
19.5,3.170173496829472,17.0,14.0,3.0,14.0,3.0,0.9463204468147676
12.5,3.2326459750489227,16.0,7.0,15.0,12.0,6.0,1.237376449779492
13.5,3.170173496829472,18.0,8.0,17.0,19.0,-2.0,-0.31544014893825584
16.5,2.6551836094703507,16.0,12.0,7.0,17.0,-3.0,-0.37662178857735473
13.5,2.9748949561287032,18.0,8.0,17.0,19.0,-2.0,-0.33614632272640715
19.0,2.8635642126552705,19.0,14.0,8.0,18.0,3.0,0.34921514788478913
18.5,3.8275318418009276,18.0,11.0,7.0,26.0,-12.0,-2.0901197770926565
17.5,2.8372521918222215,21.0,12.0,17.0,19.0,4.0,0.7049073768502414
17.5,2.6172504656604803,17.0,13.0,8.0,19.0,-4.0,-0.7641607199008701
14.0,3.1622776601683795,15.0,8.0,11.0,20.0,-8.0,-1.5811388300841895
13.5,2.8722813232690143,9.0,9.0,0.0,9.0,0.0,0.0
12.0,2.449489742783178,12.0,7.0,8.0,13.0,-4.0,-0.4082482904638631
9.5,3.138470965295043,12.0,5.0,13.0,14.0,-4.0,-0.6372529878771662
17.5,2.9410882339705484,13.0,12.0,1.0,12.0,1.0,0.34001020045902297
13.0,3.687817782917155,13.0,7.0,7.0,9.0,4.0,1.0846522890932808
11.0,3.521363372331802,10.0,4.0,7.0,18.0,-12.0,-2.2718473369882592
12.0,4.09878030638384,9.0,3.0,4.0,14.0,-6.0,-1.2198750911856664
