Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
13.0,2.8635642126552705,11.0,7.0,5.0,19.0,-14.0,-2.793721183078313
11.0,2.1447610589527217,12.0,8.0,10.0,14.0,-7.0,-0.9325048082403138
10.5,3.442382895611701,11.0,4.0,10.0,17.0,-9.0,-1.7429786813223804
11.5,3.5,10.0,4.0,6.0,8.0,4.0,0.5714285714285714
9.0,3.872983346207417,3.0,3.0,0.0,7.0,-7.0,-1.0327955589886444
7.5,2.539685019840059,7.0,3.0,7.0,12.0,-12.0,-1.9687480773953945
10.0,3.687817782917155,17.0,3.0,19.0,17.0,0.0,0.0
16.0,3.687817782917155,17.0,10.0,13.0,21.0,-3.0,-1.0846522890932808
16.5,3.263433774416144,18.0,11.0,12.0,16.0,4.0,0.6128514130358955
12.5,1.8027756377319946,12.0,9.0,6.0,16.0,-13.0,-2.2188007849009166
15.0,2.04939015319192,16.0,12.0,11.0,16.0,0.0,0.0
14.5,3.138470965295043,15.0,10.0,10.0,15.0,0.0,0.0
13.5,2.29128784747792,10.0,10.0,0.0,17.0,-18.0,-3.0550504633038935
12.5,2.8372521918222215,13.0,8.0,10.0,13.0,0.0,0.0
10.5,2.7658633371878665,10.0,5.0,7.0,16.0,-12.0,-2.1693045781865616
14.5,3.138470965295043,8.0,8.0,0.0,21.0,-19.0,-4.14214442120158
