Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
15.5,3.5,3.0,18.0,9.0,14.0,9.0,0.0,14.0,2.5714285714285716
17.5,1.2041594578792296,3.0,19.0,16.0,14.0,16.0,0.0,14.0,2.491364395612199
12.5,2.247220505424423,4.0,17.0,8.0,19.0,13.0,10.0,9.0,1.779976637959939
19.5,3.3541019662496847,3.0,13.0,13.0,0.0,13.0,0.0,0.0,0.0
13.5,3.263433774416144,4.0,18.0,7.0,17.0,11.0,3.0,14.0,2.1449799456256344
9.5,3.138470965295043,5.0,6.0,3.0,1.0,16.0,19.0,-18.0,-3.186264939385831
12.5,2.6172504656604803,3.0,13.0,7.0,10.0,7.0,0.0,10.0,2.2924821597026104
12.0,2.6832815729997477,5.0,8.0,7.0,1.0,13.0,11.0,-10.0,-1.8633899812498247
16.0,3.3466401061363023,2.0,14.0,10.0,5.0,10.0,0.0,5.0,1.1952286093343936
6.5,1.8027756377319946,4.0,4.0,4.0,0.0,9.0,17.0,-17.0,-2.773500981126146
6.0,1.5491933384829668,1.0,5.0,3.0,4.0,3.0,0.0,4.0,1.2909944487358056
11.5,3.5846896657869842,3.0,19.0,4.0,19.0,8.0,2.0,17.0,3.0686059395841885
13.0,3.1622776601683795,5.0,16.0,7.0,16.0,15.0,13.0,3.0,0.31622776601683794
16.0,3.1622776601683795,4.0,14.0,10.0,4.0,10.0,0.0,4.0,1.2649110640673518
9.0,2.6832815729997477,5.0,9.0,5.0,9.0,13.0,17.0,-8.0,-1.4907119849998598
13.5,2.9748949561287032,6.0,9.0,8.0,1.0,17.0,16.0,-15.0,-2.6891705818112572
11.0,3.4351128074635335,6.0,12.0,5.0,10.0,17.0,18.0,-8.0,-1.455556274348955
14.5,3.5846896657869842,3.0,16.0,7.0,11.0,7.0,0.0,11.0,2.510677586932518
14.0,3.1622776601683795,6.0,14.0,8.0,9.0,20.0,19.0,-10.0,-1.8973665961010275
12.5,3.4132096331752027,6.0,13.0,6.0,10.0,19.0,19.0,-9.0,-1.7578762059271429
