Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
12.5,3.3241540277189325,2.0,13.0,6.0,10.0,6.0,0.0,10.0,2.1057989315866537
12.5,2.9410882339705484,2.0,11.0,7.0,4.0,7.0,0.0,4.0,1.3600408018360919
10.5,2.4186773244895647,1.0,14.0,7.0,17.0,7.0,0.0,17.0,2.8941438070815306
10.0,2.756809750418044,3.0,7.0,5.0,3.0,7.0,3.0,0.0,0.0
13.5,3.6945906403822333,2.0,14.0,6.0,10.0,6.0,0.0,10.0,2.165327847843067
13.0,3.0659419433511785,3.0,12.0,7.0,6.0,11.0,5.0,1.0,0.3261640365267211
15.0,3.714835124201342,3.0,20.0,8.0,17.0,8.0,0.0,17.0,3.230291412348993
16.0,4.147288270665544,2.0,16.0,8.0,8.0,8.0,0.0,8.0,1.9289712886816486
13.0,2.756809750418044,3.0,13.0,8.0,8.0,8.0,0.0,8.0,1.8136906252750293
15.5,1.6278820596099706,2.0,15.0,13.0,4.0,13.0,0.0,4.0,1.2285902336679024
14.5,2.8372521918222215,4.0,15.0,10.0,10.0,14.0,7.0,3.0,0.3524536884251207
16.0,2.4083189157584592,2.0,15.0,12.0,4.0,12.0,0.0,4.0,1.2456821978060995
10.0,2.8635642126552705,4.0,16.0,4.0,19.0,12.0,14.0,5.0,1.3968605915391565
17.0,2.6457513110645907,1.0,22.0,12.0,19.0,12.0,0.0,19.0,3.779644730092272
18.5,2.3769728648009427,3.0,22.0,15.0,17.0,15.0,0.0,17.0,2.9449221333816986
14.0,3.847076812334269,2.0,17.0,7.0,16.0,7.0,0.0,16.0,2.5993762245501815
13.5,2.539685019840059,3.0,17.0,9.0,17.0,9.0,0.0,17.0,3.149996923832631
14.5,1.9621416870348585,4.0,18.0,11.0,18.0,13.0,3.0,15.0,2.5482359571881275
16.0,1.4832396974191326,2.0,14.0,13.0,1.0,13.0,0.0,1.0,0.674199862463242
12.0,2.792848008753788,3.0,9.0,7.0,2.0,10.0,4.0,-2.0,-0.35805743701971643
