Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
15.0,3.872983346207417,9.0,8.0,1.0,10.0,-2.0,-0.2581988897471611
17.0,2.4083189157584592,16.0,13.0,6.0,13.0,6.0,1.2456821978060995
16.5,2.539685019840059,16.0,12.0,6.0,19.0,-10.0,-1.1812488464372366
14.5,1.6278820596099706,17.0,12.0,17.0,12.0,17.0,3.071475584169756
17.0,2.0,17.0,13.0,8.0,18.0,-4.0,-0.5
14.5,1.9621416870348585,13.0,11.0,3.0,16.0,-11.0,-1.5289415743128765
15.5,1.8027756377319946,14.0,12.0,3.0,19.0,-16.0,-2.773500981126146
9.5,2.9410882339705484,11.0,4.0,13.0,15.0,-6.0,-1.3600408018360919
11.0,3.255764119219941,7.0,4.0,1.0,18.0,-18.0,-3.3786231425867315
10.5,2.8722813232690143,7.0,5.0,2.0,5.0,2.0,0.6963106238227914
13.0,2.5298221281347035,17.0,9.0,17.0,17.0,0.0,0.0
12.5,3.8275318418009276,10.0,4.0,4.0,21.0,-15.0,-2.8739146935024027
14.0,1.4832396974191326,13.0,11.0,3.0,11.0,3.0,1.348399724926484
11.0,2.6457513110645907,12.0,6.0,11.0,12.0,0.0,0.0
14.5,3.138470965295043,8.0,8.0,0.0,21.0,-19.0,-4.14214442120158
10.0,2.0,11.0,6.0,12.0,9.0,7.0,1.0
9.0,2.32379000772445,13.0,5.0,18.0,10.0,8.0,1.2909944487358056
12.5,2.1095023109728985,14.0,9.0,13.0,11.0,9.0,1.4221363894199317
12.5,3.5,20.0,5.0,19.0,20.0,0.0,0.0
12.5,3.0413812651491097,15.0,7.0,14.0,7.0,14.0,2.6303837968857167
