Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
13.0,4.358898943540674,5.0,14.0,4.0,10.0,15.0,12.0,-2.0,-0.22941573387056174
13.0,2.9664793948382653,6.0,19.0,7.0,19.0,19.0,19.0,0.0,0.0
16.5,2.1563858652847827,4.0,19.0,12.0,16.0,12.0,0.0,16.0,3.2461722703211775
21.0,0.7745966692414834,4.0,21.0,20.0,6.0,20.0,0.0,6.0,1.2909944487358056
19.0,1.4832396974191326,3.0,19.0,16.0,8.0,16.0,0.0,8.0,2.0225995873897262
17.0,2.6457513110645907,4.0,15.0,12.0,5.0,12.0,0.0,5.0,1.1338934190276817
14.0,2.9664793948382653,6.0,8.0,8.0,0.0,20.0,19.0,-19.0,-4.0451991747794525
12.0,2.1908902300206643,3.0,8.0,8.0,0.0,10.0,3.0,-3.0,-0.9128709291752769
7.5,2.8722813232690143,6.0,12.0,3.0,19.0,12.0,19.0,0.0,0.0
16.5,2.6551836094703507,1.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0
8.0,2.756809750418044,6.0,12.0,3.0,16.0,13.0,19.0,-3.0,-0.36273812505500586
14.0,2.756809750418044,7.0,15.0,9.0,12.0,19.0,19.0,-7.0,-1.4509525002200234
10.5,1.6881943016134133,5.0,13.0,8.0,17.0,13.0,17.0,0.0,0.0
13.0,3.255764119219941,2.0,12.0,6.0,8.0,6.0,0.0,8.0,1.8428853505018536
11.5,2.3769728648009427,3.0,8.0,7.0,1.0,11.0,6.0,-5.0,-1.2621094857350137
10.5,3.774917217635375,6.0,12.0,4.0,11.0,17.0,19.0,-8.0,-1.3245323570650438
12.5,3.2326459750489227,4.0,18.0,7.0,18.0,8.0,2.0,16.0,3.09344112444873
14.0,3.687817782917155,4.0,13.0,7.0,6.0,12.0,4.0,2.0,0.2711630722733202
14.0,2.9664793948382653,4.0,13.0,8.0,6.0,11.0,3.0,3.0,0.674199862463242
9.0,3.5496478698597698,3.0,3.0,3.0,0.0,8.0,7.0,-7.0,-1.4085904245475276
